question_title,answer_url,question_url,author_name,author_url,fans_count,created_time,updated_time,comment_count,voteup_count,content,author_ip
万柳书院的少爷怎么火了？,https://www.zhihu.com/question/577312150/answer/2843424108,https://www.zhihu.com/question/577312150,金融八卦女,https://www.zhihu.com/people/jinrongbaguanv,45370,2023-01-13T06:02:19.000Z,2023-01-13T06:02:19.000Z,0,1,铁打的豪宅，流水的主人。虽说拥有顶奢豪宅确实让人艳羡，但你永远也不知道，住在其中的是真富豪还是假富豪，更重要的是，富豪再有钱，终究也会有败落的那一天……文｜金融八卦女作者：禾酱· · ·天空一声巨响，老奴闪亮登场！这句本应该只是网友玩梗的评论，却成为了很多人的真实行为。最近，万柳书院和它的少爷上了好几天热搜，将这座位于北京海淀区的顶级豪宅彻底带火。少爷1号是个高中生，不露脸拍了条胯下运球的视频。仅仅只因其定位的小区房价22万一平、自身就读于北京101中学，家里背景墙上又有副疑似4.2亿的齐白石真迹，数天之内涨粉133万。网友闻风而上，亦给少爷1号的邻居“少爷2号”刷起了直播礼物，7分钟收获真金白银20万元。要知道，四五年前，华谊千金王文也和耀莱千金綦美合的名媛闺蜜群里，这些超级白富美称要帅哥微信的普通女孩是农民、真帅哥都是自己的，还会引起网友愤怒和群嘲。如今，2023年的网友却能自愿给富人打赏，只能让人仰天感叹，这届“韭菜”不清醒就算了，为啥还能越陷越深？铁打的豪宅，流水的主人。虽说拥有顶奢豪宅确实让人艳羡，但你永远也不知道，住在其中的是真富豪还是假富豪，更重要的是，富豪再有钱，终究也会有败落的那一天……▲左，王文也綦美合私下嘲人农民；右，网友自称老奴辣媳评论被顶上高赞1./ 老奴跪舔少爷，雌竞手段花样百出，还藏着牵涉金融圈的秘密…… /位于北京海淀区的万柳书院，在2022年曾两度霸占过热搜。上一次还是5月14日，小区中一户法拍房以总价1.09亿、单价36万/平成交的时候。这套顶层复式，均价碾压了27万/平的汤臣一品。最初，是8位竞拍者每人缴纳1100万拍卖保证金后起拍，“卷”了117轮竞价，最终，49岁就拥有60亿财富的金山软件前董事长葛珂，不惜花费1/60身家和300多万契税，才将此豪宅揽入怀中。与这座豪宅一起被法拍的另外一套房，成交单价也被炒到了29.6万/平。30多万，可能是大部分人几年的工资，却只能在这个小区买一平米房子，可见住于此地的人绝对非富即贵。网传，柳传志在这有6套房，名人业主里还有丁磊和柳青。又由于此地兼具顶级名校学区和配套，比如，5到10分钟路程能到颐和园、人大，片区里又有中关村第三小学和北大研究生公寓，且有价无市，目前小区并无在售、在租楼盘，因此有地王之称。光芒虽大，但这两套豪宅的前身并不太干净，它们的原主人，是用假理财骗了27亿的80后“美女行长”张颖。▲万柳书院地理位置根据网络信息，这位已被判无期的民生银行航天桥支行前女行长毕业于人大金融系，2011年入职后，用5年时间将存款规模增加到100亿，但在2013年以来，以高息诱骗客户签订虚假理财产品购买或转让协议，骗取147人共27.46亿余元。随后她疯狂买车买房，仅万柳书院就有5套房子和7个车位。要知道，这里车位起拍都是168万元。但对一些人来说，买房的财富来源并不重要，豪宅天生就带着金钱和名声的滤镜，单价越高、给业主也镀的金也越多。巨富们竞争着天价房，也使得网民竞相跪舔能在顶级豪宅居住的少爷，过去这周这场“少爷和老奴”的网络狂欢就是如此。▲2022年5月，万柳书院天价法拍房这件事简单描述起来，分为三个阶段。第一阶段我们开头讲过，就是一个名为@Edwinnnnnn的富二代高中生“喻少”在2022年12月11日发了胯下运球的变装视频，地址定位在万柳书院，吸引了大批想在京圈少爷家洗厕所的“老奴”。即便，网友根本不知道少爷的年纪、长相、学历、是否真的是业主。本来，这则视频可能就只是小部分人圈地慕富，过几天热度就会散去。第二阶段，博主@羊毛月 在12月底采访了称也住在万柳书院的少爷2号@16，在读大二的对方带他实探万柳书院，看了满是奔驰迈巴赫、宾利欧陆、法拉利812、劳斯莱斯魅影、保时捷Taycan的地下车库。随即，@16 给这个网红博主，包吃包住包机票，带去自家广州的大别墅跨年，又拍摄了短视频，这生动的剧情，把万柳书院的IP彻底带火了。以至于，少爷2号开个唱歌的直播，七分钟就能收到老奴们20万元的打赏，登上热搜第一。说实在的，这轻而易举收的20万都快赶上万柳书院22万一平的均价了，如果按这个赚钱速率，少爷1分钟直播赚2.85万，1小时就到手171万，葛珂住的1.09亿豪宅，少爷直播63.7小时就能搞定。倘若他加加班，每天直播9小时，差不多一周，又能“自食其力”挣一套房子，给自家做邻居用了。更离谱的是，少爷不但动动嘴皮就日进斗金，还被人关心“感谢礼物的话会不会说到嘴累啊？”，他的个人信息亦被扒出，如“2002年出生“”身高190、有教养的呆呆真少爷“”可爱死了”，因为有钱所以发光的少爷，以及他虔诚的信徒，俨然形成了一个新型饭圈。令人实在不解。但重头戏还是在第三阶段。或许因为由媒体报道后，少爷们出圈了，一些狂热的女友粉有了危机感，开始发长文抬高自己、贬低他人，来换取在少爷心中的“正宫”地位。比如，这则写给少爷1号喻少的知名手写小作文，就是由一名22岁女孩激情写著的。她先是炫耀自己资格老，在少爷没啥粉时就关注了，同时强调自己仰慕、但并不羡慕少爷的生活，人本就有别，这是抖音教会她的道理。接着，她把篮球写成蓝球、“can be happy”写成“can happy”，还创造了好几段令人看后哭笑不得的“咯噔文学”，比如，喜欢喻少的大部分人只因为他有钱、只有自己才能了解到对方的浪漫和阳光，喜欢梅西这点，也增加了少爷的帅气。文末还用了数十个四字成语，全方位夸赞了从未露脸的少爷。▲手写信八妹标注版（红色是语病，绿色是“咯噔文学”），图和打码源网络第二则小作文的博主则直接雌竞，她说，少爷去过好多国家，自己连国都没出过，少爷认识有钱好看的女生，但自己比她们更真诚、勇敢。昔日女孩们追捧他，但现在只有自己为他说话，并称自己的真诚朴实是大小姐们永远做不到的。这段有点像《简爱》里女主对男主的自白，“难道就因为我一贫如洗，长相平庸，就没有灵魂，没有真心了吗……要是上帝赐予我一点姿色和财富，我也可以让你对我难以自拔，就像现在我难以离开你一样。”只是简爱是真的自信，内心充实，不在意财富，这些粉丝则是在自卑和自负之间徘徊，慕富只因内心虚弱，想卖灰姑娘人设引起少爷注意罢了……2./ “老奴”慕的富到底是真的吗？地产界的劳斯莱斯居然成了老赖 /“书院、老奴、少爷”的故事结合了豪宅、帅哥、00后、炫富和奇葩等多重元素，掌控流量密码，一周刷屏多个平台热搜，也引来巨量舆论争议。少爷1号称自己本意不是想红，顺势删了视频。目前，他的主页只剩3个视频，签名换成了“梦幻的一周到此结束”，像极了《红楼梦》那句“好一似食尽鸟投林，落了片白茫茫大地真干净”。而开播7分钟，少爷2号就能收到相当于普通人一两年工资的20万元，“钱生钱”的魔幻现实主义情节让人再次感叹阶级难以逾越。但比起贫富差距，更让人想痛骂不争气的是自称老奴的粉丝。杜甫有句诗是“炙背可以献天子，美芹由来知野人”，意思是，有农人想把晒太阳能让背暖和这个秘密告诉皇帝，被旁人耻笑说这样就像穷人把野芹菜当成宝贝献给乡豪一样，多少有些搞笑了。还有一个类似的故事是，古时，农民在地里锄地，也会想象，皇帝锄地会不会用金锄头。但过去这些故事里，即便是封建社会，人们都还是认为君王和自己一样都是人类，2023年的“老奴”则不然，他们自认卑微，却心甘情愿地认为少爷生于富贵、心思单纯，即使不露脸也一定是阳光善良的，还有人可怜巴巴地在少爷1号的评论区里问，少爷会看得起小县城的日落吗？惹得@Edwinnnnnn 不得不回复，称自己如果有机会也想去看看，并解释以后不会再更新和直播。▲少爷1号称走红只是无心插柳一则本无意炫富的视频，后续发展离谱，“老奴是在慕强慕权”“少爷不该把炫富当作流量”，媒体大多都是这个观点。甚至有媒体说，以往富贵人群的生活都是隐秘的，现在愿意与我们分享他们的日常，也算是社会的进步。但实际上，万柳书院就算真富贵如此，和我们普通的人又有什么关系呢？首先，万柳书院不是北京唯一的顶豪小区。根据丽兹豪宅行数据，二手房市场上，按贵，万柳书院只能排第五，前面还有均价26万的万科北河沿、中海凯旋等小区，分别位于北海景山、金融街等商圈，就连同在万柳的万柳华府也比万柳书院单价高了1.2万。从新房市场来看，万柳书院也只能排第三，位于国贸CBD的首创天禧比其单价高了近4万。假设豪宅都按万柳书院311户的业主来算，那么，在这些小区住的少爷小姐至少就有2000多个，数量多到老奴根本崇拜不过来。而且，就像上文所述，万柳书院去年被法拍的36万/平的豪宅原主是用假理财诈骗27亿的美女行长，如果老奴不小心崇拜到类似这样诈骗犯家里的少爷，就是天大的笑话。更何况，根据贝壳找房，真住在万柳书院的业主，他们大多是为了孩子选的小区，还评价了小区离菜市场不远、但绿化率一般等问题，看起来不是特意想炫富才住的豪宅，只是住房恰好天价，这种平淡，应该让老奴也没有可舔的空间。▲上为2022年，北京豪宅二手楼盘成交均价榜单，下为新房楼盘成交均价榜单，数据源于丽兹豪宅行▲贝壳找房上万柳书院业主评价最重要的是，这年头，万柳书院应该也不好过。上周，与万柳书院少爷直播唱歌的新闻一同上热搜的，还有其开发商中赫置地投资控股有限公司已成为被执行人、强制执行5亿元这件事。这个公司实缴资本为5000万，目前是被最高人民法院公示的失信公司，也就是老赖。平素，中赫有着“地产界劳斯莱斯”之称，曾开发钓鱼台七号院等北京豪宅，但实际上，除了卖豪宅的本职，中赫曾做过的千品网和石油天然气有限公司，都曾因资金链断裂大量裁员，或清算后公司被注销。近几年，中赫更是因为保住北京国安足球俱乐部的“国安”名号，花巨资收购中信持有的俱乐部36%股权，还因给国安增资35.5亿、向山东省国际信托贷款借了20亿，未能还款后，把国安股权质押给了山东省国际信托，目前资金相当紧张。根据市界报道，和中赫走的近的人曾称，现在中赫地产已没有多少业务了，幸好万柳书院还有些货值可以拿去抵押。▲源自天眼查这样来看，万柳书院既算不上北京最贵的楼盘，其中业主也是真假富豪混杂，背后开发商最近都资金紧张了，网友实在没必要给它加太多滤镜。而韭菜们自称“老奴”之前，甚至没见着少爷的脸、不知道其家族背景、也没验过资，就能脑补到写小作文表白，实在让人很想劝诫要谨慎点。毕竟，通过网络，利用人设和套路，建立亲近关系，再收割钱财，又何尝不是杀猪盘的套路？3./ 故宫旁11亿豪宅、9500万汤臣一品，豪宅主人换来换去终成空…… /豪宅象征着财富和身份，自然吸引人好奇。但当墙外看客沉浸式幻想屋主的高贵时，真假富豪们每天也只是做着和每个人一样的事。美国资深记者瑞安曾横跨全美11个州、敲开50家顶级豪宅的门，写成一本《我在豪宅学到的人生功课》。他本想找点成功学的噱头，探索巨富到底是不是三头六臂，结果却发现，住在梦幻豪宅里的屋主也是普通人。书中描述到，这些豪宅里有人继承家业，有人出身贫寒、一路打拼，有人喜好奉承、有人不轻信盲从，但他们周末都在做晚餐、接孩子或者加班，除了家是豪宅，屋主本人和旁人没啥区别。顶奢豪宅中，更神秘一些的名人住宅也是一样，不仅并不自带光环，甚至有些屋主还在其中做了不少上不了台面的事。2020年9月，因北京NAGA上院开发商御嘉置地有限公司欠债被申请强制执行，成龙在该小区两套未办产权证的房被法拍。这套NAGA上院是东二环内保留完好的四合院遗址——康有为的故居，临近雍和宫，堪称“豪宅教科书”。开盘时，开发商将仪式与《如果·爱》电影首映式结合在一起，又称，99户顶级住宅只能卖给高素质、有责任心、乐善好施的少数成功人士、不是有钱就能住进来的。所以，这里的名人业主除了成龙还有吴彦祖、霍启刚和杨受成。但这座顶级豪宅是成龙儿子房祖名28岁的生日礼物，却也是他容留柯震东吸毒时的案发现场。▲NAGA上院财富也不会因为人住豪宅，就永远留在他手里。2022年10月，位于故宫旁的“晴格格”王艳豪宅王府世纪大厦，市场估值约15.39亿、起拍价仅11.2亿元，却遭流拍。位于该楼顶层的那栋1亿住宅由王艳自住，面积500平，自带健身房、游泳池、空中花园，透过窗即可俯瞰故宫，噱头很足。这栋楼本不至于要卖出去，要知道背后老板是澳大利亚籍地产大佬王志才，其母是满清皇族八旗王的“格格”。他在上世纪90年代就在故宫边拿下地成立王府世纪，实现了财富自由。但，富贵终究此一时彼一时。随媒体陆续曝出，王志才先后三次在金沙湾赌博，连本带利一共欠下6900万元，旗下公司王府世纪还被限制高消费、大量股权被冻结和出质。目前，王府世纪欠债到债权已经转移到盛京银行，拍卖前，此楼并无买家接盘，拍卖后，也同样无人问津。曾经引人艳羡的“晴格格”夫妇，现如今，一个自2019年后销声匿迹，一个重新复出、尝试带货，也是蛮让人唏嘘的。豪宅除了“目睹”主人的人生起落，也见证他们的现实烦恼。2022年3月，一位用9500万购入豪宅的汤臣一品业主向媒体爆料称，2010年买房后就开始漏水、反水，物业始终修不好马桶，街道的人过来挖了个大洞，自己无奈将卧室卫生间封闭8年。其中，女儿因粪水倒灌受惊，一度吃不下饭、睡不着觉，还得了抑郁症，2020年物业终于修好了马桶，但这次回家时他又发现地面布满了黄褐色粪便和粪水，恶臭满天。“十多年没过上好日子！”豪宅再天价，如果满足不了业主正常居住需求，还得受窝囊气，其实也是没啥用的。▲汤臣一品被粪水倒灌所以， 即便是最顶奢的豪宅，也只是表面光鲜，里头住的人、做的事真真假假、难以分辨，最终都将成空，实在不至于让人跪舔。而吃瓜群众劝完“韭菜”们也可以早点散了，毕竟，撇开信息繁杂的网络，还得面对自己真实的生活。毕竟，还是靠自己努力站着吃饭香，何必花那冤枉时间跪着讨呢？,IP 属地北京
万柳书院的少爷怎么火了？,https://www.zhihu.com/question/577312150/answer/2834337452,https://www.zhihu.com/question/577312150,啧啧啧,https://www.zhihu.com/people/noko-51,3,2023-01-07T11:55:47.000Z,2023-01-07T11:55:47.000Z,0,1,怎么火了呢？就是因为大家都在讨论，动不动就发个帖说，万柳书院xxx为什么能火？为什么？为什么？为什么！？这就是为什么他会火，就是因为大家爱深究爱讨论，给人家引流了。本来就是一个视频，从视频里看到定位，看到画了，哇！发个小视频和大家分析一下然后又扯到万柳书院了，搞得人家住在万柳书院的博主都出来了，都吸了一波 ”不知道为什么粉人家反正人家就是特别有钱“ 粉，人家博主直接立人设，马上赶着风头狂发作品（人家也不傻）之后又上升到了有钱人怎么怎么样，穷人怎么怎么样，哎呀，你们就是仇富，你们就是xxx再上升我估计要到阶级层面了。,IP 属地广东
万柳书院的少爷怎么火了？,https://www.zhihu.com/question/577312150/answer/2834100643,https://www.zhihu.com/question/577312150,夜见北斗,https://www.zhihu.com/people/27-15-92-80,4,2023-01-07T08:39:53.000Z,2023-01-07T08:39:53.000Z,0,1,鄙人认为这个视频配不上这么高的流量，而最“令人智熄”的是评论中有人自称老奴，叫少爷，离谱的是还出现了有人手写千字表达爱慕之意的情况，反正大部分流量是他的拥趸带来的。也许是拜金主义，也许是一些人骨子里的奴性，还是类似于想抱大腿，当舔狗的想法，还是多重因素的影响，或者换一种说法，觉得他很优秀，反正很多人开始关注主人公，他突然就火了，我只能说：人类的悲喜并不相通，我只觉得他们好笑。 狗头保命。,IP 属地江西
万柳书院的少爷怎么火了？,https://www.zhihu.com/question/577312150/answer/2835058915,https://www.zhihu.com/question/577312150,M丶喵,https://www.zhihu.com/people/ping-heng-bao-chi-zhong,0,2023-01-08T03:06:16.000Z,2023-01-08T03:06:16.000Z,0,0,都火好几天了呀,IP 属地甘肃
万柳书院为什么会火？反映了什么社会现象?,https://www.zhihu.com/question/577877957/answer/2838434503,https://www.zhihu.com/question/577877957,Bacon,https://www.zhihu.com/people/bacon-94-86,2,2023-01-10T05:58:33.000Z,2023-01-10T05:58:33.000Z,0,2,新年之交，简中互联网因为万柳书院事件变得更加火热。也许从这件事我们可以挖深一点，从别的角度看看事件发生的一些深刻原因。事件起因是一位抖音ID为“Edwinnnnnn”的账号（人称“喻少”）发布了一条跨下运球视频，视频内容元素简单剖析为：变装 运球 力量感 肌肉线条等等。然而，就在一条让正常人觉得这人好帅然后滑到下一条的短视频里，一些元素却让这条视频变得并不寻常：万柳书院 齐白石真迹。在上述种种元素加持下，很快该账号获得大量关注。天空一声巨响，“老奴”闪亮登场。随后，“喻少”一直保持沉寂。与“喻少”的高冷不同的是，另一位同样住在万柳书院抖音ID为“16”（人称“16少”） 的富二代男孩，大方接受了采访，并在一声声“少爷”中开了直播唱歌，显得如此凭亿近人。共同的是，视频评论区“老奴”之词频频出现，在直播中更有人为之打赏，各种离谱行为作者不想多讲。巨大的热度还引来不少跟风的“少爷公主”。斥责或讥讽那几个自甘折腰为奴的人，并不是这篇文章想做的事。这种事件在我看来是必然会发生的。去掉一个“万柳书院”，还会有“深圳湾一号”“汤臣一品”出现。去掉一个“喻少”“16少”，还会有别的“……少”出现。之前“卡塔尔王子”“向太直播”等事件一定程度上类似于“万柳书院事件”，只是大部人在玩梗看乐子中还没有到被一声声“老奴”刺痛清醒的时候。很多人批判道“我们拼命打倒的地主阶级，正在卷土重来。”我认为用“地主阶级”去称呼并不合适，毕竟社会性质已经改变，对于他们我更喜欢称为“自由市场阶级”。时代已经改变，中国在硬件上一定程度上完成了工业化和城市化的目标，让大多数人口获得了现代生活方式，互联网更是让人们了解到更多遥远的事，自然而然就会了解到那些出身高贵，衣食无忧的人。正常人当然希望自己出身高贵，衣食无忧，这是人类正常的想法。但如果鼓吹“小明在豪宅里运球，小刚在豪宅直播唱歌，我在电脑前码字，我们都有光明的未来”就……。这些事件发生的原因在于，现阶段的贫富差距和阶级固化进一步造就的拜金主义已经侵蚀着互联网，或者说是正在侵蚀着手机前的你我。现代物质文明和消费主义社会的风气下，人的本性自然会反映拜金主义。这是必然结果，也是现代社会物欲横流、道德沦丧的象征。拜金主义是高度发达的物质文明难以去除的毒瘤。随着中国社会的不断进步和发展，拜金主义会进一步影响我们。万柳书院事件中，那些自称“老奴”的人有多少是出于玩梗心态，又有多少是媚富跪舔的呢？近年来每年都会上映许多主旋律电影，前几年我对这些电影表示提供除观看外的一切支持（bushi），但在这些事件后，我认为这些电影不可缺失。这些电影电视剧正一点点地去除粉饰着的拜金主义的影响，即使再多也便觉得合理。但除了国家、社会层面的努力，我们个人也应该有清醒的认识。“有的人生在罗马，有的人生而骡马”这一段子既幽默又现实。有人可能觉得“无所谓，历史周期律会出手。”但如果任凭这种拜金主义生长，历史周期律也会僵化。“王侯将相宁有种乎”，自我奴化只会践踏社会的进步，想着心中向往的生活，靠着自己的双手打拼，而不是想着以“老奴”之姿做“姨太太”、“赘婿”之梦。他做他的路灯挂件，我做我的小镇做题家。如果说用什么做总结的话，我愿用《让子弹飞》中的一句台词作结尾：起来！不准跪！,IP 属地广东
万柳书院事件中追捧那些少爷小姐都是什么样的人？它们为什么这样做？,https://www.zhihu.com/question/577177065/answer/2838413589,https://www.zhihu.com/question/577177065,奇猫国,https://www.zhihu.com/people/qi-mao-guo-76,107,2023-01-10T05:45:02.000Z,2023-01-10T10:52:37.000Z,0,3,都是些普通人，就像我大学同学毕业十年后参加初中同学聚会，混得好的单独换个包间，其他人在大厅吃完就散了。很多人都有慕强心理，总以为接近强者能沾点光，按我那个大学同学的说法就是不当奴隶就当奴才。我是非常不认同这种观点的，我认为朋友之间不要掺杂过多的利益，那样友谊就不纯洁了。如果以为自己谋福利去接近强者，这样的人不可与其深交。强者比普通人眼界更加开阔，从小锻炼了识人辨人的能力，就像我高中时的闺蜜，她从小就跟她爸去一些如接见市长的重要场合，出入有专车接送没骑过自行车，从小奉承讨好她的人不会少，但她却把我当成她最好的朋友，在得知我毕业时要搬家唯恐失去联系时她竟然哭了，我确实也值得成为她的朋友，因为我从来没想过从她那里得到什么利益方面的好处。我认为无论朋友是贫穷还是富贵，都不要想着从对方那里索取什么，而要想着自己能给对方带来什么，这才是朋友之间的相处之道。,IP 属地天津
万柳书院事件中追捧那些少爷小姐都是什么样的人？它们为什么这样做？,https://www.zhihu.com/question/577177065/answer/2837025086,https://www.zhihu.com/question/577177065,幻想曲作,https://www.zhihu.com/people/62-23-42-84-95,11,2023-01-09T08:13:34.000Z,2023-01-09T08:13:34.000Z,0,1,怎么说，我就是，但是我是慕强，我认为这个人有钱，很牛皮，开两个玩笑，追捧一下，但我也不可能跑到人家家里360度旋转滑铲下跪抱大腿说少爷少爷，求您看老奴一眼吧，其实就都是和看到马云喊马爸爸一样而已，有那么一两个看到有利可循，疯狂搞事，人家也不可能看得上,IP 属地山东
万柳书院事件中追捧那些少爷小姐都是什么样的人？它们为什么这样做？,https://www.zhihu.com/question/577177065/answer/2833848603,https://www.zhihu.com/question/577177065,无知,https://www.zhihu.com/people/wu-zhi-71-14-29,26,2023-01-07T05:23:11.000Z,2023-01-07T05:23:11.000Z,0,1,看似是拜金求富，其实是精神和物质的双重穷人,IP 属地江苏
万柳书院事件中追捧那些少爷小姐都是什么样的人？它们为什么这样做？,https://www.zhihu.com/question/577177065/answer/2842978605,https://www.zhihu.com/question/577177065,轻松家长,https://www.zhihu.com/people/vtino,709,2023-01-13T01:32:16.000Z,2023-01-13T01:32:16.000Z,0,0,评论区那些人，咋说呢，有一部分人确实是有点脑子拎不清乱舔的，但更多网友也是自娱自乐，玩梗嘛，也给自己苦逼的生活找点乐子。毕竟，透过喻少这扇窗，我们才得以窥见那个我们不曾了解过的上层世界是如何梦幻，但大多数人看过梗，玩过梗之后也会尽快回到自己的生活。但同时我们也要清楚认识到，这世界还是充满着撕裂，资源是极度倾斜，也是很不公平的。网络让人与人之间的距离无限缩小，小镇里的人们也可以近距离的围观“万柳书院的少爷们”的生活。很多人都迷失在互联网巨大洪流中，一边吹捧生来富裕的人如何努力换取更为富裕的生活，一边嘲笑贫穷的人无论如何努力仍在泥泞之中挣扎。浮于热梗之中完成了自我奴化，阶级固化。巨大的差距会让人越来越想躺平，奋斗的意义变得越来越狭窄……就拿身边的大多数人来说，其实大家都很努力，不过好像从没有想过要努力到成为精英阶层，大多数是想考上一个不错的大学，找到一份好的工作，或者考公考编，基本上是相对于自身切实的目标。但现实就是资源是不可跨越的一道鸿沟，尤其是现在各行各业都很饱和，单靠自己拼搏实现阶级跃升，说给别人听都觉得可笑。所以，无论是之前对于卡塔尔小王子的疯狂追捧，还是现在对于万柳书院少爷的奴性跪舔，内里可能还是源于人们对于金钱，权力，和上层阶级的崇拜。互联网把我们每个人所属的阶层残忍地展现到自己面前，但能否在这波浪潮中站稳脚跟，以及明确自己的定位，才是对于每个人来说最重要的。如果说还有什么是能够逆流而上的，大概真的只有好好读书吧。,IP 属地北京
万柳书院事件中追捧那些少爷小姐都是什么样的人？它们为什么这样做？,https://www.zhihu.com/question/577177065/answer/2840674501,https://www.zhihu.com/question/577177065,chris anna,https://www.zhihu.com/people/wu-ming-jian-99,1882,2023-01-11T12:42:24.000Z,2023-01-11T12:42:24.000Z,0,0,谁愿意一辈子当奴才，当一两年奴才，能阶级上升也不是坏事,IP 属地广东
